Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	1916	20	0	0	0	0
0	58	0	1921	6	0	7	4	3
0	58	0	1926	14	0	0	0	0
0	58	0	1928	6	0	8	5	3
0	58	0	1932	14	0	0	0	0
0	58	0	1933	44	0	0	0	0
0	58	0	1936	24	0	0	0	0
0	58	0	1937	40	0	4	3	1
0	58	0	1940	95	0	0	0	0
0	58	0	1941	17	0	0	0	0
0	58	0	1944	14	0	0	0	0
0	58	0	1949	9	0	0	0	0
0	58	0	1965	7	0	0	0	0
0	58	0	1976	13	0	0	0	0
0	58	0	1980	13	0	0	0	0
0	58	0	1982	76	0	22	10	12
0	58	0	1986	14	0	17	13	4
0	58	0	1998	48	0	0	0	0
0	58	0	2008	5	0	0	0	0
0	58	0	2013	330	0	46	28	18
0	58	0	2016	22	0	0	0	0
0	58	0	2017	314	0	0	0	0
0	58	0	2019	7	0	2	2	0
0	58	0	2021	20	0	0	0	0
0	58	0	2022	153	0	33	17	16
0	58	0	2023	23	0	0	0	0
0	58	0	2024	7	0	0	0	0
0	58	0	2039	20	0	4	0	4
0	58	0	2040	14	0	0	0	0
0	58	0	2045	9	0	1	1	0
0	58	0	2049	13	0	0	0	0
0	58	0	2055	13	0	0	0	0
0	58	0	2058	273	0	15	7	8
0	58	0	2061	6	0	0	0	0
0	58	0	2065	5	0	0	0	0
0	58	0	2066	12	0	0	0	0
0	58	0	2067	57	0	2	1	1
0	58	0	2069	20	0	0	0	0
0	58	0	2073	77	0	5	5	0
0	58	0	2075	20	0	3	2	1
0	58	0	2076	6	0	0	0	0
0	58	0	2077	32	0	0	0	0
0	58	0	2082	13	0	0	0	0
0	58	0	2083	91	0	6	1	5
0	58	0	2091	51	0	3	1	2
0	58	0	2096	110	0	0	0	0
0	58	0	2097	1206	0	110	60	50
0	58	0	2107	151	0	6	3	3
0	58	0	2109	8	0	0	0	0
0	58	0	2113	13	0	3	2	1
0	58	0	2118	44	0	10	3	7
0	58	0	2119	6	0	0	0	0
0	58	0	2120	20	0	1	1	0
0	58	0	2121	23	0	1	1	0
0	58	0	2123	167	0	0	0	0
0	58	0	2127	7	0	0	0	0
0	58	0	2139	6	0	1	1	0
0	58	0	2141	18	0	0	0	0
0	58	0	2144	198	0	4	1	3
0	58	0	2147	20	0	6	4	2
0	58	0	2148	47	0	7	6	1
0	58	0	2154	7	0	11	6	5
0	58	0	2158	161	0	11	1	10
0	58	0	2160	8	0	0	0	0
0	58	0	2164	25	0	1	1	0
0	58	0	2166	9	0	5	2	3
0	58	0	2167	5	0	0	0	0
0	58	0	2175	45	0	0	0	0
0	58	0	2183	7	0	0	0	0
0	58	0	2189	101	0	10	6	4
0	58	0	2199	10	0	0	0	0
0	58	0	2204	25	0	0	0	0
0	58	0	2209	6	0	2	1	1
0	58	0	2213	29	0	0	0	0
0	58	0	2222	166	0	0	0	0
0	58	0	2226	9	0	0	0	0
0	58	0	2231	45	0	0	0	0
0	58	0	2234	9	0	8	3	5
0	58	0	2239	29	0	0	0	0
0	58	0	2241	32	0	0	0	0
0	58	0	2243	18	0	0	0	0
0	58	0	2246	12	0	5	4	1
0	58	0	2248	12	0	0	0	0
0	58	0	2253	38	0	0	0	0
0	58	0	2262	13	0	0	0	0
0	58	0	2265	435	0	29	15	14
0	58	0	2266	10	0	0	0	0
0	58	0	2267	6	0	0	0	0
0	58	0	2273	70	0	0	0	0
0	58	0	2275	11	0	0	0	0
